target_num,name,handle,channel,archetype,utm_campaign,hook,sent_date,sent_status,replied,reply_summary,outcome,notes
1,Cobie,@cobie,x_dm,7b_angel,seed_pool_cobie,,,,,,,
2,Robert Leshner,@rleshner,x_dm,7c_peer_founder,seed_pool_rleshner,,,,,,,
3,Tarun Chitra,@tarunchitra,x_dm,7c_peer_founder,seed_pool_tarun,,,,,,,
4,Hasu,@hasufl,x_dm,7e_kol,seed_pool_hasu,,,,,,,
5,Hugh Karp,@HughKarp,x_dm,7c_peer_founder,seed_pool_hughk,,,,,,,
6,Loi Luu,@loi_luu,x_dm,7c_peer_founder,seed_pool_loi,,,,,,,
7,Mariano Conti,@nanexcool,x_dm,7e_kol,seed_pool_mariano,,,,,,,
8,Smokey The Bera,@SmokeyTheBera,x_dm,7c_peer_founder,seed_pool_smokey,,,,,,,
9,DCF GOD,@dcfgod,x_dm,7b_angel,seed_pool_dcfgod,,,,,,,
10,[TBD Arbitrum native],@,x_dm,7b_angel,seed_pool_arbnative,,,,,,,
G1,MetaMask Grants DAO,forum.metamask-grants.org,grant_forum,grant,seed_pool_metamask_grants,,,,,,,
G2,CoW DAO Grants,forum.cow.fi,grant_forum,grant,seed_pool_cow_dao,,,,,,,
G3,Across Protocol,forum.across.to,grant_forum,grant,seed_pool_across,,,,,,,
